fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality;country;province;region_1;region_2;variety;winery
6.8;0.61;0.2;1.8;0.077;11;65;0.9971;3.54;0.58;9.3;5;Argentina;Other;Salta;;Torrontés;Alamos
6.7;0.62;0.21;1.9;0.079;8;62;0.997;3.52;0.58;9.3;6;US;California;Sonoma Coast;Sonoma;Chardonnay;Anaba
8.9;0.31;0.57;2;0.111;26;85;0.9971;3.26;0.53;9.7;5;Chile;Colchagua Valley;;;Carmenère;Apaltagua
7.4;0.39;0.48;2;0.082;14;67;0.9972;3.34;0.55;9.2;5;US;California;Anderson Valley;;Pinot Noir;Harrington
7.7;0.705;0.1;2.6;0.084;9;26;0.9976;3.39;0.49;9.7;5;Italy;Sicily & Sardinia;Sicilia;;Red Blend;Abbazia Santa Anastasia
7.9;0.5;0.33;2;0.084;15;143;0.9968;3.2;0.55;9.5;5;Chile;Colchagua Valley;;;Merlot;Viña Bisquertt
7.9;0.49;0.32;1.9;0.082;17;144;0.9968;3.2;0.55;9.5;5;Chile;Casablanca Valley;;;Chardonnay;Emiliana
8.2;0.5;0.35;2.9;0.077;21;127;0.9976;3.23;0.62;9.4;5;Italy;Southern Italy;Campania;;Red Blend;Fattoria Alois
6.4;0.37;0.25;1.9;0.074;21;49;0.9974;3.57;0.62;9.8;6;Australia;South Australia;Padthaway;;Cabernet Sauvignon;Henry's Drive Vignerons
6.8;0.63;0.12;3.8;0.099;16;126;0.9969;3.28;0.61;9.5;5;Italy;Veneto;Rosso del Veronese;;Red Blend;Aldegheri
7.6;0.55;0.21;2.2;0.071;7;28;0.9964;3.28;0.55;9.7;5;France;Burgundy;St.-Romain;;Chardonnay;Bertrand Ambroise
7.6;0.55;0.21;2.2;0.071;7;28;0.9964;3.28;0.55;9.7;5;Italy;Tuscany;Chianti Classico;;Sangiovese;Campomaggio
7.8;0.59;0.33;2;0.074;24;120;0.9968;3.25;0.54;9.4;5;Italy;Tuscany;Vino Nobile di Montepulciano;;Prugnolo Gentile;Carpineto
7.3;0.58;0.3;2.4;0.074;15;55;0.9968;3.46;0.59;10.2;5;Italy;Tuscany;Vernaccia di San Gimignano;;Vernaccia;Cesani
11.5;0.3;0.6;2;0.067;12;27;0.9981;3.11;0.97;10.1;6;South Africa;Western Cape;;;Chenin Blanc;Spier
5.4;0.835;0.08;1.2;0.046;13;93;0.9924;3.57;0.85;13;7;US;California;Napa Valley;Napa;Cabernet Sauvignon;Sequum
6.9;1.09;0.06;2.1;0.061;12;31;0.9948;3.51;0.43;11.4;4;US;California;Nevada County;Sierra Foothills;Cabernet Franc;Sierra Starr
9.6;0.32;0.47;1.4;0.056;9;24;0.99695;3.22;0.82;10.3;7;Italy;Tuscany;Brunello di Montalcino;;Sangiovese;Tenuta di Sesta
8.8;0.37;0.48;2.1;0.097;39;145;0.9975;3.04;1.03;9.3;5;Italy;Northeastern Italy;Alto Adige;;White Blend;Terlan
6.8;0.5;0.11;1.5;0.075;16;49;0.99545;3.36;0.79;9.5;5;Israel;Judean Hills;;;Syrah;Yatir
7;0.42;0.35;1.6;0.088;16;39;0.9961;3.34;0.55;9.2;5;Portugal;Alentejo;;;Portuguese Red;Adega Cooperativa de Borba
7;0.43;0.36;1.6;0.089;14;37;0.99615;3.34;0.56;9.2;6;US;California;Paso Robles;Central Coast;G-S-M;J. Lohr
12.8;0.3;0.74;2.6;0.095;9;28;0.9994;3.2;0.77;10.8;7;US;California;Arroyo Seco;Central Coast;Chardonnay;J. Lohr
12.8;0.3;0.74;2.6;0.095;9;28;0.9994;3.2;0.77;10.8;7;US;California;Napa Valley;Napa;Cabernet Sauvignon;Courtney Benham
7.8;0.57;0.31;1.8;0.069;26;120;0.99625;3.29;0.53;9.3;5;US;California;Dry Creek Valley;Sonoma;Zinfandel;Del Carlo Winery
7.8;0.44;0.28;2.7;0.1;18;95;0.9966;3.22;0.67;9.4;5;South Africa;Coastal Region;;;White Blend;Delaire Graff
11;0.3;0.58;2.1;0.054;7;19;0.998;3.31;0.88;10.5;7;France;Rhône Valley;Côtes du Rhône;;Rhône-style Red Blend;Domaine St Pierre
9.7;0.53;0.6;2;0.039;5;19;0.99585;3.3;0.86;12.4;6;South Africa;Western Cape;;;Chardonnay;Eikendal
8;0.725;0.24;2.8;0.083;10;62;0.99685;3.35;0.56;10;6;France;Rhône Valley;Vacqueyras;;Rhône-style Red Blend;Famille Perrin
11.6;0.44;0.64;2.1;0.059;5;15;0.998;3.21;0.67;10.2;6;Spain;Northern Spain;Rueda;;Verdejo;Matarromera
8.2;0.57;0.26;2.2;0.06;28;65;0.9959;3.3;0.43;10.1;5;US;California;Paso Robles;Central Coast;Red Blend;MCV
7.8;0.735;0.08;2.4;0.092;10;41;0.9974;3.24;0.71;9.8;6;US;California;Dry Creek Valley;Sonoma;Rhône-style Red Blend;Mounts
7;0.49;0.49;5.6;0.06;26;121;0.9974;3.34;0.76;10.5;5;Israel;Galilee;;;Bordeaux-style Red Blend;Or Haganuz
8.7;0.625;0.16;2;0.101;13;49;0.9962;3.14;0.57;11;5;Italy;Tuscany;Brunello di Montalcino;;Sangiovese;Podere Scopetone
8.1;0.725;0.22;2.2;0.072;11;41;0.9967;3.36;0.55;9.1;5;Portugal;Beira Atlantico;;;Portuguese Red;Quinta de Foz de Arouce
7.5;0.49;0.19;1.9;0.076;10;44;0.9957;3.39;0.54;9.7;5;US;California;Napa Valley;Napa;Fumé Blanc;Robert Mondavi
7.8;0.53;0.33;2.4;0.08;24;144;0.99655;3.3;0.6;9.5;5;Hungary;Tokaj;;;Furmint;Samuel Tinon
7.8;0.34;0.37;2;0.082;24;58;0.9964;3.34;0.59;9.4;6;US;California;Sonoma Coast;Sonoma;Chardonnay;Sixteen by Twenty
7.4;0.53;0.26;2;0.101;16;72;0.9957;3.15;0.57;9.4;5;Italy;Northeastern Italy;Alto Adige;;Pinot Bianco;St. Pauls
6.8;0.61;0.04;1.5;0.057;5;10;0.99525;3.42;0.6;9.5;5;Italy;Tuscany;Brunello di Montalcino;;Sangiovese;Talenti
8.6;0.645;0.25;2;0.083;8;28;0.99815;3.28;0.6;10;6;Italy;Northeastern Italy;Alto Adige;;Pinot Bianco;Terlan
8.4;0.635;0.36;2;0.089;15;55;0.99745;3.31;0.57;10.4;4;Argentina;Mendoza Province;Luján de Cuyo;;Malbec;Mendel
7.7;0.43;0.25;2.6;0.073;29;63;0.99615;3.37;0.58;10.5;6;South Africa;Stellenbosch;;;Chardonnay;Oldenburg
8.9;0.59;0.5;2;0.337;27;81;0.9964;3.04;1.61;9.5;6;South Africa;Stellenbosch;;;Chenin Blanc;Oldenburg
9;0.82;0.14;2.6;0.089;9;23;0.9984;3.39;0.63;9.8;5;US;New York;Finger Lakes;Finger Lakes;Pinot Noir;Wagner
7.7;0.43;0.25;2.6;0.073;29;63;0.99615;3.37;0.58;10.5;6;US;New York;Cayuga Lake;Finger Lakes;Riesling;Treleaven
6.9;0.52;0.25;2.6;0.081;10;37;0.99685;3.46;0.5;11;5;US;California;Napa Valley;Napa;Red Blend;Benessere
5.2;0.48;0.04;1.6;0.054;19;106;0.9927;3.54;0.62;12.2;7;US;New York;Finger Lakes;Finger Lakes;Gewürztraminer;Bloomer Creek
8;0.38;0.06;1.8;0.078;12;49;0.99625;3.37;0.52;9.9;6;Argentina;Mendoza Province;Mendoza;;Bonarda;Andean Sky
8.5;0.37;0.2;2.8;0.09;18;58;0.998;3.34;0.7;9.6;6;Australia;South Australia;South Australia;;Shiraz;Angove's
6.9;0.52;0.25;2.6;0.081;10;37;0.99685;3.46;0.5;11;5;US;Oregon;Willamette Valley;Willamette Valley;Pinot Noir;Silvan Ridge
8.2;1;0.09;2.3;0.065;7;37;0.99685;3.32;0.55;9;6;Italy;Central Italy;Montepulciano d'Abruzzo;;Montepulciano;Talamonti
7.2;0.63;0;1.9;0.097;14;38;0.99675;3.37;0.58;9;6;US;California;Santa Barbara County;Central Coast;Syrah;Testarossa
7.2;0.63;0;1.9;0.097;14;38;0.99675;3.37;0.58;9;6;US;California;Diamond Mountain District;Napa;Cabernet Sauvignon;Meeker
7.2;0.645;0;1.9;0.097;15;39;0.99675;3.37;0.58;9.2;6;Italy;Central Italy;San Marino;;Moscato;Consorzio Vini Tipici di San Marino
7.2;0.63;0;1.9;0.097;14;38;0.99675;3.37;0.58;9;6;Australia;South Australia;McLaren Vale;;Grenache;D'Arenberg
8.2;1;0.09;2.3;0.065;7;37;0.99685;3.32;0.55;9;6;US;California;Mendocino;;Cabernet Sauvignon;Dogwood
8.9;0.635;0.37;1.7;0.263;5;62;0.9971;3;1.09;9.3;5;France;Southwest France;Vin de Pays des Côtes de Gascogne;;Ugni Blanc-Colombard;Domaine du Tariquet
12;0.38;0.56;2.1;0.093;6;24;0.99925;3.14;0.71;10.9;6;US;California;Napa Valley;Napa;Sangiovese;Falcor
7.7;0.58;0.1;1.8;0.102;28;109;0.99565;3.08;0.49;9.8;6;US;California;Russian River Valley;Sonoma;Chardonnay;Hayman & Hill
15;0.21;0.44;2.2;0.075;10;24;1.00005;3.07;0.84;9.2;7;US;New York;Finger Lakes;Finger Lakes;Chardonnay;Hermann J. Wiemer
15;0.21;0.44;2.2;0.075;10;24;1.00005;3.07;0.84;9.2;7;Spain;Northern Spain;Vino de la Tierra de Castilla y León;;Red Blend;J. & F. Lurton
7.3;0.66;0;2;0.084;6;23;0.9983;3.61;0.96;9.9;6;Argentina;Other;San Juan;;Chardonnay;Finca Las Moras
7.1;0.68;0.07;1.9;0.075;16;51;0.99685;3.38;0.52;9.5;5;Australia;South Australia;Adelaide Hills;;Sauvignon Blanc;Long Flat
8.2;0.6;0.17;2.3;0.072;11;73;0.9963;3.2;0.45;9.3;5;US;California;Sonoma Mountain;Sonoma;Merlot;Work
7.7;0.53;0.06;1.7;0.074;9;39;0.99615;3.35;0.48;9.8;6;US;Oregon;Willamette Valley;Willamette Valley;Pinot Noir;Amity
7.3;0.66;0;2;0.084;6;23;0.9983;3.61;0.96;9.9;6;US;Virginia;Monticello;;Bordeaux-style Red Blend;Autumn Hill
10.8;0.32;0.44;1.6;0.063;16;37;0.9985;3.22;0.78;10;6;US;California;Alexander Valley;Sonoma;Cabernet Sauvignon;Blue Rock
7.1;0.6;0;1.8;0.074;16;34;0.9972;3.47;0.7;9.9;6;US;Oregon;Willamette Valley;Willamette Valley;Pinot Noir;Cherry Hill
11.1;0.35;0.48;3.1;0.09;5;21;0.9986;3.17;0.53;10.5;5;US;California;Amador County;Sierra Foothills;Zinfandel;Cloud 9
7.7;0.775;0.42;1.9;0.092;8;86;0.9959;3.23;0.59;9.5;5;Argentina;Mendoza Province;Luján de Cuyo;;Malbec;Cueva de las Manos
7.1;0.6;0;1.8;0.074;16;34;0.9972;3.47;0.7;9.9;6;US;California;St. Helena;Napa;Petite Sirah;David Fulton
8;0.57;0.23;3.2;0.073;17;119;0.99675;3.26;0.57;9.3;5;US;California;Cole Ranch;;Pinot Noir;Esterlina
9.4;0.34;0.37;2.2;0.075;5;13;0.998;3.22;0.62;9.2;5;South Africa;Coastal Region;;;Syrah-Viognier;Goats do Roam Wine Co.
6.6;0.695;0;2.1;0.075;12;56;0.9968;3.49;0.67;9.2;5;South Africa;Coastal Region;;;Red Blend;Graham Beck
7.7;0.41;0.76;1.8;0.611;8;45;0.9968;3.06;1.26;9.4;5;South Africa;Stellenbosch;;;Cabernet Sauvignon;Hartenberg
10;0.31;0.47;2.6;0.085;14;33;0.99965;3.36;0.8;10.5;7;France;Southwest France;Cahors;;Malbec;Vignobles 46N118
7.9;0.33;0.23;1.7;0.077;18;45;0.99625;3.29;0.65;9.3;5;US;Oregon;Willamette Valley;Willamette Valley;Pinot Noir;Willamette Valley Vineyards
7;0.975;0.04;2;0.087;12;67;0.99565;3.35;0.6;9.4;4;Argentina;Mendoza Province;;;Red Blend;Algodon
8;0.52;0.03;1.7;0.07;10;35;0.99575;3.34;0.57;10;5;US;California;Napa Valley;Napa;Red Blend;Beaver Creek
7.9;0.37;0.23;1.8;0.077;23;49;0.9963;3.28;0.67;9.3;5;US;California;Santa Maria Valley;Central Coast;Pinot Noir;Byron
12.5;0.56;0.49;2.4;0.064;5;27;0.9999;3.08;0.87;10.9;5;South Africa;Stellenbosch;;;Syrah;Jardin
11.8;0.26;0.52;1.8;0.071;6;10;0.9968;3.2;0.72;10.2;7;South Africa;Stellenbosch;;;Chardonnay;Jardin
8.1;0.87;0;3.3;0.096;26;61;1.00025;3.6;0.72;9.8;4;Argentina;Mendoza Province;Mendoza;;Red Blend;Kaiken
7.9;0.35;0.46;3.6;0.078;15;37;0.9973;3.35;0.86;12.8;8;Italy;Central Italy;Torgiano;;White Blend;Lungarotti
6.9;0.54;0.04;3;0.077;7;27;0.9987;3.69;0.91;9.4;6;Italy;Veneto;Veneto;;White Blend;Marchesi Fumanelli
11.5;0.18;0.51;4;0.104;4;23;0.9996;3.28;0.97;10.1;6;Austria;Leithaberg;;;Blaufränkisch;Mariell
7.9;0.545;0.06;4;0.087;27;61;0.9965;3.36;0.67;10.7;6;Italy;Northeastern Italy;Colli Orientali del Friuli;;Friulano;Livio Felluga
11.5;0.18;0.51;4;0.104;4;23;0.9996;3.28;0.97;10.1;6;Greece;Santorini;;;Assyrtico;My Big Fat Greek Wine
10.9;0.37;0.58;4;0.071;17;65;0.99935;3.22;0.78;10.1;5;Italy;Northeastern Italy;Alto Adige;;Pinot Bianco;Nals Margreid
8.4;0.715;0.2;2.4;0.076;10;38;0.99735;3.31;0.64;9.4;5;Argentina;Mendoza Province;Uco Valley;;Red Blend;O. Fournier
7.5;0.65;0.18;7;0.088;27;94;0.99915;3.38;0.77;9.4;5;Italy;Piedmont;Monferrato;;White Blend;Pico Maccario
7.9;0.545;0.06;4;0.087;27;61;0.9965;3.36;0.67;10.7;6;Argentina;Mendoza Province;Mendoza;;Cabernet Sauvignon;Sottano
6.9;0.54;0.04;3;0.077;7;27;0.9987;3.69;0.91;9.4;6;US;California;Sonoma County;Sonoma;Zinfandel;St. Francis
11.5;0.18;0.51;4;0.104;4;23;0.9996;3.28;0.97;10.1;6;US;California;Napa Valley;Napa;Cabernet Sauvignon;Trailhead
10.3;0.32;0.45;6.4;0.073;5;13;0.9976;3.23;0.82;12.6;8;US;Oregon;Willamette Valley;;Pinot Noir;Erath
8.9;0.4;0.32;5.6;0.087;10;47;0.9991;3.38;0.77;10.5;7;Italy;Northeastern Italy;Alto Adige;;Sauvignon;Franz Haas
11.4;0.26;0.44;3.6;0.071;6;19;0.9986;3.12;0.82;9.3;6;Austria;Kremstal;;;Grüner Veltliner;Forstreiter
7.7;0.27;0.68;3.5;0.358;5;10;0.9972;3.25;1.08;9.9;7;US;California;Santa Maria Valley;Central Coast;Pinot Noir;Cambria
7.6;0.52;0.12;3;0.067;12;53;0.9971;3.36;0.57;9.1;5;Italy;Tuscany;Toscana;;Red Blend;I Giusti e Zanza
8.9;0.4;0.32;5.6;0.087;10;47;0.9991;3.38;0.77;10.5;7;US;Oregon;Dundee Hills;Willamette Valley;Pinot Noir;J. Christopher
9.9;0.59;0.07;3.4;0.102;32;71;1.00015;3.31;0.71;9.8;5;Argentina;Mendoza Province;Perdriel;;Malbec;Viña Cobos
9.9;0.59;0.07;3.4;0.102;32;71;1.00015;3.31;0.71;9.8;5;Austria;Kremstal;;;Riesling;Salomon-Undhof
12;0.45;0.55;2;0.073;25;49;0.9997;3.1;0.76;10.3;6;US;California;Arroyo Grande Valley;Central Coast;Pinot Noir;Talley
7.5;0.4;0.12;3;0.092;29;53;0.9967;3.37;0.7;10.3;6;Spain;Catalonia;Montsant;;Carignan-Grenache;Acústic
8.7;0.52;0.09;2.5;0.091;20;49;0.9976;3.34;0.86;10.6;7;Austria;Kremstal;;;Grüner Veltliner;Josef Schmid
11.6;0.42;0.53;3.3;0.105;33;98;1.001;3.2;0.95;9.2;5;US;California;Napa Valley;Napa;Cabernet Sauvignon;Parallel
8.7;0.52;0.09;2.5;0.091;20;49;0.9976;3.34;0.86;10.6;7;France;Bordeaux;Saint-Estèphe;;Bordeaux-style Red Blend;Château Lafon-Rochet
11;0.2;0.48;2;0.343;6;18;0.9979;3.3;0.71;10.5;5;Italy;Central Italy;Sagrantino di Montefalco;;Sagrantino;Dionigi
10.4;0.55;0.23;2.7;0.091;18;48;0.9994;3.22;0.64;10.3;6;France;France Other;Arbois;;Savagnin;Domaine Daniel Dugois
6.9;0.36;0.25;2.4;0.098;5;16;0.9964;3.41;0.6;10.1;6;Australia;South Australia;Barossa Valley;;Shiraz;Kilikanoon
13.3;0.34;0.52;3.2;0.094;17;53;1.0014;3.05;0.81;9.5;6;Argentina;Mendoza Province;Tupungato;;Malbec;Finca Sophenia
10.8;0.5;0.46;2.5;0.073;5;27;1.0001;3.05;0.64;9.5;5;US;California;Paso Robles;Central Coast;Cabernet Sauvignon-Syrah;Treana
10.6;0.83;0.37;2.6;0.086;26;70;0.9981;3.16;0.52;9.9;5;Chile;Maipo Valley;;;Cabernet Sauvignon;Ventisquero
7.1;0.63;0.06;2;0.083;8;29;0.99855;3.67;0.73;9.6;5;US;California;Napa Valley;Napa;Cabernet Sauvignon;Aquinas
7.2;0.65;0.02;2.3;0.094;5;31;0.9993;3.67;0.8;9.7;5;Chile;Aconcagua Valley;;;Cabernet Sauvignon;Arboleda
6.9;0.67;0.06;2.1;0.08;8;33;0.99845;3.68;0.71;9.6;5;Italy;Piedmont;Langhe;;Red Blend;Attilio Ghisolfi
7.5;0.53;0.06;2.6;0.086;20;44;0.9965;3.38;0.59;10.7;6;US;California;Napa Valley;Napa;Sangiovese;Benessere
11.1;0.18;0.48;1.5;0.068;7;15;0.9973;3.22;0.64;10.1;6;US;Washington;Columbia Valley (WA);Columbia Valley;Chardonnay;Buried Cane
8.3;0.705;0.12;2.6;0.092;12;28;0.9994;3.51;0.72;10;5;Italy;Piedmont;Roero;;Nebbiolo;Cantina del Nebbiolo
7.4;0.67;0.12;1.6;0.186;5;21;0.996;3.39;0.54;9.5;5;Italy;Piedmont;Barolo;;Nebbiolo;Cascina Adelaide
8.4;0.65;0.6;2.1;0.112;12;90;0.9973;3.2;0.52;9.2;5;Italy;Piedmont;Barbera d'Asti Superiore Nizza;;Barbera;Cascina La Ghersa
10.3;0.53;0.48;2.5;0.063;6;25;0.9998;3.12;0.59;9.3;6;US;California;Mendocino County;;Zinfandel;Claudia Springs
7.6;0.62;0.32;2.2;0.082;7;54;0.9966;3.36;0.52;9.4;5;Romania;Recas;;;Chardonnay;Cramele Recas
10.3;0.41;0.42;2.4;0.213;6;14;0.9994;3.19;0.62;9.5;6;France;Burgundy;Côte de Nuits-Villages;;Pinot Noir;Domaine Bertagna
10.3;0.43;0.44;2.4;0.214;5;12;0.9994;3.19;0.63;9.5;6;Greece;Santorini;;;White Blend;Domaine Sigalas
7.4;0.29;0.38;1.7;0.062;9;30;0.9968;3.41;0.53;9.5;6;Italy;Piedmont;Langhe;;Nebbiolo;Socré
10.3;0.53;0.48;2.5;0.063;6;25;0.9998;3.12;0.59;9.3;6;Italy;Piedmont;Langhe;;Nebbiolo;Boffa
7.9;0.53;0.24;2;0.072;15;105;0.996;3.27;0.54;9.4;6;New Zealand;Hawke's Bay;;;Syrah;Otto's Constant Dream
9;0.46;0.31;2.8;0.093;19;98;0.99815;3.32;0.63;9.5;6;US;California;Napa Valley;Napa;Cabernet Sauvignon;Mount Veeder
8.6;0.47;0.3;3;0.076;30;135;0.9976;3.3;0.53;9.4;5;Italy;Piedmont;Roero;;Nebbiolo;Rabino
7.4;0.36;0.29;2.6;0.087;26;72;0.99645;3.39;0.68;11;5;US;California;Napa Valley;Napa;Cabernet Sauvignon;Robert Mondavi
7.1;0.35;0.29;2.5;0.096;20;53;0.9962;3.42;0.65;11;6;Italy;Veneto;Prosecco di Valdobbiadene;;Prosecco;Bellussi
9.6;0.56;0.23;3.4;0.102;37;92;0.9996;3.3;0.65;10.1;5;France;Bordeaux;Bordeaux Blanc;;Bordeaux-style White Blend;Château Mont-Pérat
9.6;0.77;0.12;2.9;0.082;30;74;0.99865;3.3;0.64;10.4;6;France;Bordeaux;Bordeaux Blanc;;Bordeaux-style White Blend;Château Tour de Mirambeau
9.8;0.66;0.39;3.2;0.083;21;59;0.9989;3.37;0.71;11.5;7;Chile;Curicó Valley;;;Merlot;Aresti
9.6;0.77;0.12;2.9;0.082;30;74;0.99865;3.3;0.64;10.4;6;Italy;Veneto;Veneto;;Prosecco;Paladin
9.8;0.66;0.39;3.2;0.083;21;59;0.9989;3.37;0.71;11.5;7;Italy;Veneto;Prosecco di Valdobbiadene;;Prosecco;Perlage
9.3;0.61;0.26;3.4;0.09;25;87;0.99975;3.24;0.62;9.7;5;Italy;Veneto;Prosecco di Valdobbiadene;;Prosecco;Sant Eurosia
7.8;0.62;0.05;2.3;0.079;6;18;0.99735;3.29;0.63;9.3;5;Italy;Veneto;Prosecco di Valdobbiadene;;Prosecco;Sant Eurosia
10.3;0.59;0.42;2.8;0.09;35;73;0.999;3.28;0.7;9.5;6;Chile;Colchagua Valley;;;Cabernet Sauvignon;J. & F. Lurton
10;0.49;0.2;11;0.071;13;50;1.0015;3.16;0.69;9.2;6;Italy;Veneto;Prosecco di Conegliano;;Prosecco;L'Antica Quercia
10;0.49;0.2;11;0.071;13;50;1.0015;3.16;0.69;9.2;6;US;New York;Finger Lakes;Finger Lakes;Vignoles;Lucas Vineyards
11.6;0.53;0.66;3.65;0.121;6;14;0.9978;3.05;0.74;11.5;7;Italy;Veneto;Prosecco di Valdobbiadene;;Prosecco;Marsuret
10.3;0.44;0.5;4.5;0.107;5;13;0.998;3.28;0.83;11.5;5;Chile;Limarí Valley;;;Chardonnay;De Martino
13.4;0.27;0.62;2.6;0.082;6;21;1.0002;3.16;0.67;9.7;6;US;California;Knights Valley;Sonoma;White Blend;Beringer
10.7;0.46;0.39;2;0.061;7;15;0.9981;3.18;0.62;9.5;5;US;California;Mendocino;;Zinfandel;Brutocao
10.2;0.36;0.64;2.9;0.122;10;41;0.998;3.23;0.66;12.5;6;US;California;Central Coast;Central Coast;Red Blend;Clos La Chance
10.2;0.36;0.64;2.9;0.122;10;41;0.998;3.23;0.66;12.5;6;Chile;Casablanca Valley;;;Gewürztraminer;Cono Sur
8;0.58;0.28;3.2;0.066;21;114;0.9973;3.22;0.54;9.4;6;Italy;Veneto;Prosecco di Conegliano;;Prosecco;Sommariva
8.4;0.56;0.08;2.1;0.105;16;44;0.9958;3.13;0.52;11;5;Italy;Veneto;Prosecco di Valdobbiadene;;Prosecco;Spagnol
7.9;0.65;0.01;2.5;0.078;17;38;0.9963;3.34;0.74;11.7;7;France;Champagne;Champagne;;Champagne Blend;Jacquart
11.9;0.695;0.53;3.4;0.128;7;21;0.9992;3.17;0.84;12.2;7;Italy;Veneto;Prosecco di Conegliano;;Prosecco;L'Antica Quercia
8.9;0.43;0.45;1.9;0.052;6;16;0.9948;3.35;0.7;12.5;6;Chile;Colchagua Costa;;;Pinot Noir;Koyle
7.8;0.43;0.32;2.8;0.08;29;58;0.9974;3.31;0.64;10.3;5;France;Languedoc-Roussillon;Languedoc;;Rosé;Château Notre Dame du Quatourze
12.4;0.49;0.58;3;0.103;28;99;1.0008;3.16;1;11.5;6;France;Provence;Coteaux Varois en Provence;;Rosé;Mémoires
12.5;0.28;0.54;2.3;0.082;12;29;0.9997;3.11;1.36;9.8;7;Spain;Catalonia;Cava;;Sparkling Blend;Cavas Hill
12.2;0.34;0.5;2.4;0.066;10;21;1;3.12;1.18;9.2;6;France;Alsace;Alsace;;Pinot Gris;Antoine Moltès & Fils
10.6;0.42;0.48;2.7;0.065;5;18;0.9972;3.21;0.87;11.3;6;US;California;Dry Creek Valley;Sonoma;Zinfandel;Pezzi King
10.9;0.39;0.47;1.8;0.118;6;14;0.9982;3.3;0.75;9.8;6;Spain;Catalonia;Cava;;Sparkling Blend;Bellisco
10.9;0.39;0.47;1.8;0.118;6;14;0.9982;3.3;0.75;9.8;6;Chile;Rapel Valley;;;Pinot Noir;Pura 8
11.9;0.57;0.5;2.6;0.082;6;32;1.0006;3.12;0.78;10.7;6;Chile;Leyda Valley;;;Chardonnay;Viña Tarapacá
7;0.685;0;1.9;0.067;40;63;0.9979;3.6;0.81;9.9;5;Australia;Victoria;Rutherglen;;Muscat;Chambers Rosewood Vineyards
6.6;0.815;0.02;2.7;0.072;17;34;0.9955;3.58;0.89;12.3;7;Australia;Victoria;Rutherglen;;Muscadelle;Chambers Rosewood Vineyards
13.8;0.49;0.67;3;0.093;6;15;0.9986;3.02;0.93;12;6;Germany;Rheingau;;;Riesling;Robert Weil
9.6;0.56;0.31;2.8;0.089;15;46;0.9979;3.11;0.92;10;6;Australia;Victoria;Rutherglen;;Muscat;Chambers Rosewood Vineyards
9.1;0.785;0;2.6;0.093;11;28;0.9994;3.36;0.86;9.4;6;Australia;South Australia;Barossa;;Shiraz-Viognier;Torbreck
10.7;0.67;0.22;2.7;0.107;17;34;1.0004;3.28;0.98;9.9;6;Italy;Piedmont;Barolo;;Nebbiolo;Cavallotto
9.1;0.795;0;2.6;0.096;11;26;0.9994;3.35;0.83;9.4;6;Hungary;Tokaji;;;Furmint;Oremus
7.7;0.665;0;2.4;0.09;8;19;0.9974;3.27;0.73;9.3;5;US;California;Russian River Valley;Sonoma;Chardonnay;Rochioli
13.5;0.53;0.79;4.8;0.12;23;77;1.0018;3.18;0.77;13;5;France;Burgundy;Montrachet;;Chardonnay;Louis Latour
6.1;0.21;0.4;1.4;0.066;40.5;165;0.9912;3.25;0.59;11.9;6;Germany;Rheingau;;;Riesling;Robert Weil
6.7;0.75;0.01;2.4;0.078;17;32;0.9955;3.55;0.61;12.8;6;US;California;Russian River Valley;Sonoma;Chardonnay;Rochioli
11.5;0.41;0.52;3;0.08;29;55;1.0001;3.26;0.88;11;5;Australia;Victoria;Heathcote;;Shiraz;Jasper Hill
10.5;0.42;0.66;2.95;0.116;12;29;0.997;3.24;0.75;11.7;7;France;Burgundy;Clos de Vougeot;;Pinot Noir;Château de la Tour
11.9;0.43;0.66;3.1;0.109;10;23;1;3.15;0.85;10.4;7;Germany;Rheingau;;;Riesling;Weingut Hans Bausch
12.6;0.38;0.66;2.6;0.088;10;41;1.001;3.17;0.68;9.8;6;France;Burgundy;Chassagne-Montrachet;;Chardonnay;Philippe Colin
8.2;0.7;0.23;2;0.099;14;81;0.9973;3.19;0.7;9.4;5;Australia;South Australia;Barossa Valley;;Shiraz-Viognier;Torbreck
8.6;0.45;0.31;2.6;0.086;21;50;0.9982;3.37;0.91;9.9;6;Italy;Piedmont;Barolo;;Nebbiolo;Bel Colle
11.9;0.58;0.66;2.5;0.072;6;37;0.9992;3.05;0.56;10;5;US;California;Diamond Mountain District;Napa;Cabernet Sauvignon;J. Davies
12.5;0.46;0.63;2;0.071;6;15;0.9988;2.99;0.87;10.2;5;France;Burgundy;Criots-Bâtard-Montrachet;;Chardonnay;Louis Latour
12.8;0.615;0.66;5.8;0.083;7;42;1.0022;3.07;0.73;10;7;US;Oregon;Dundee Hills;Willamette Valley;Pinot Noir;Winderlea
10;0.42;0.5;3.4;0.107;7;21;0.9979;3.26;0.93;11.8;6;Australia;South Australia;Clare Valley;;Shiraz;Wakefield
12.8;0.615;0.66;5.8;0.083;7;42;1.0022;3.07;0.73;10;7;Italy;Northeastern Italy;Alto Adige;;Pinot Bianco;Cantina Terlano
10.4;0.575;0.61;2.6;0.076;11;24;1;3.16;0.69;9;5;Chile;Maipo Valley;;;Carmenère;De Martino
